"Id","ensembl_gene_id","module","gene_symbol","organ","MM.pval","deseq2_sum.pval","geneID","is.hub","Label","hub_rank","log.MM","random_ranks"
"123","ENSMUSG00000020834","darkgreen","Dhrs13","muscle",1.6280022854547706e-4,0.003969740792672234,"Dhrs13",FALSE,"",1,3.7883449897664128,145
"35","ENSMUSG00000049097","darkgreen","Ankrd34a","muscle",1.6966526578435708e-4,0.008111447980583693,"Ankrd34a",FALSE,"",1,3.770407058225547,90
"115","ENSMUSG00000014329","darkgreen","Bicc1","muscle",1.7160995378039183e-4,0.5532579097148835,"Bicc1",FALSE,"",1,3.7654575256567338,13
"158","ENSMUSG00000000531","darkgreen","Tamalin","muscle",2.282368752304105e-4,0.5605321458211647,"Tamalin",FALSE,"",1,3.6416141871951777,12
"116","ENSMUSG00000019927","darkgreen","Ube2d1","muscle",2.3157670934273613e-4,0.008408814628082502,"Ube2d1",FALSE,"",1,3.6353051215964456,151
"106","ENSMUSG00000052698","darkgreen","Tln2","muscle",2.3873212955705268e-4,0.21509527236803871,"Tln2",FALSE,"",1,3.622089127912729,33
"27","ENSMUSG00000017670","darkgreen","Elmo2","muscle",2.597579546225234e-4,0.18751374241081967,"Elmo2",FALSE,"",1,3.585431144075806,52
"197","ENSMUSG00000033460","darkgreen","Armcx1","muscle",3.4929207360999366e-4,0.7935272736960315,"Armcx1",FALSE,"",1,3.456811269577067,130
"113","ENSMUSG00000019861","darkgreen","Gopc","muscle",3.6444646690988303e-4,0.029343257390372215,"Gopc",FALSE,"",1,3.4383662556397545,37
"194","ENSMUSG00000036959","darkgreen","Bcorl1","muscle",4.8457075201199177e-4,0.00173113251675168,"Bcorl1",FALSE,"",1,3.314642802792684,122
"17","ENSMUSG00000035513","darkgreen","Ntng2","muscle",5.109618039309461e-4,0.34524950990099235,"Ntng2",FALSE,"",1,3.291611563587443,30
"140","ENSMUSG00000084691","darkgreen","Gm24895","muscle",5.136802690931371e-4,0.15174790973422325,"Gm24895",FALSE,"",1,3.2893071155848768,68
"63","ENSMUSG00000062995","darkgreen","Ica1","muscle",5.331068355822718e-4,0.1314122750030693,"Ica1",FALSE,"",1,3.2731857488450813,6
"98","ENSMUSG00000031980","darkgreen","Agt","muscle",5.457552569539377e-4,0.43430552191711075,"Agt",FALSE,"",1,3.263002072283796,64
"74","ENSMUSG00000055200","darkgreen","Sertad3","muscle",5.68150479492476e-4,0.04022370334974006,"Sertad3",FALSE,"",1,3.245536622461717,21
"161","ENSMUSG00000005958","darkgreen","Ephb3","muscle",6.182323028258516e-4,0.24543572465873956,"Ephb3",FALSE,"",1,3.2088483066610953,92
"1","ENSMUSG00000004768","darkgreen","Rab23","muscle",6.208767161590522e-4,0.882972215183548,"Rab23",FALSE,"",1,3.206994626566076,168
"3","ENSMUSG00000091937","darkgreen","Gm3646","muscle",6.402049385951448e-4,0.8449686405698049,"Gm3646",FALSE,"",1,3.193680979994531,55
"143","ENSMUSG00000021681","darkgreen","Aggf1","muscle",7.135549333331336e-4,0.013920354630072875,"Aggf1",FALSE,"",1,3.1465725869149983,65
"87","ENSMUSG00000109635","darkgreen","Gm45670","muscle",8.275585988573197e-4,0.22912601027886118,"Gm45670",FALSE,"",1,3.0822012443687514,178
"114","ENSMUSG00000019917","darkgreen","Septin10","muscle",9.066997162164116e-4,0.03777464735772788,"Septin10",FALSE,"",1,3.042536520197791,81
"97","ENSMUSG00000031792","darkgreen","Usb1","muscle",9.296478136062628e-4,0.1774097042328462,"Usb1",FALSE,"",1,3.0316815477642507,109
"10","ENSMUSG00000026398","darkgreen","Nr5a2","muscle",0.0010497106213602516,0.9972093115885773,"Nr5a2",FALSE,"",1,2.9789304084230284,38
"101","ENSMUSG00000038884","darkgreen","Shfl","muscle",0.001175240208749315,0.19979862789981706,"Shfl",FALSE,"",1,2.9298733583518835,100
"150","ENSMUSG00000116069","darkgreen","Gm49510","muscle",0.0012174773712885535,0.8566812246259038,"Gm49510",FALSE,"",1,2.9145391020770597,123
"41","ENSMUSG00000049119","darkgreen","Fam110b","muscle",0.0012192825608344957,0.0014324734553757047,"Fam110b",FALSE,"",1,2.913895637785255,166
"13","ENSMUSG00000026637","darkgreen","Traf5","muscle",0.0012391996990164002,0.871333960299062,"Traf5",FALSE,"",1,2.9068587007326565,121
"76","ENSMUSG00000046058","darkgreen","Eid2","muscle",0.0016121118290031774,0.0414885808792172,"Eid2",FALSE,"",1,2.7926048353383295,80
"24","ENSMUSG00000068079","darkgreen","Tcf15","muscle",0.0017683749137157357,0.319354644468852,"Tcf15",FALSE,"",1,2.7524256546529,160
"151","ENSMUSG00000116165","darkgreen","Pdxp","muscle",0.0021305291344359224,0.3591444937997924,"Pdxp",FALSE,"",1,2.671512522557993,46
"177","ENSMUSG00000038524","darkgreen","Fchsd1","muscle",0.0021449112304119155,0.03589096183219943,"Fchsd1",FALSE,"",1,2.668590676877866,108
"72","ENSMUSG00000003545","darkgreen","Fosb","muscle",0.00218033371419103,0.19297443440190842,"Fosb",FALSE,"",1,2.6614770297257273,104
"170","ENSMUSG00000117222","darkgreen","Gm49906","muscle",0.0024034454676331207,0.008701198339309404,"Gm49906",FALSE,"",1,2.6191657272381406,163
"166","ENSMUSG00000024012","darkgreen","Mtch1","muscle",0.00243789077535728,0.2687383270961031,"Mtch1",FALSE,"",1,2.6129857559457883,153
"168","ENSMUSG00000092412","darkgreen","Gm20507","muscle",0.002506742565800037,0.5136412777192203,"Gm20507",FALSE,"",1,2.6008902643637466,40
"175","ENSMUSG00000073599","darkgreen","Ecscr","muscle",0.002791984329761712,0.41653314941376546,"Ecscr",FALSE,"",1,2.5540870235550073,137
"196","ENSMUSG00000059327","darkgreen","Eda","muscle",0.00279782007019789,0.07579785560620558,"Eda",FALSE,"",1,2.5531802187336954,170
"33","ENSMUSG00000106383","darkgreen","E330034L11Rik","muscle",0.0028336222118307314,0.5633074588190081,"E330034L11Rik",FALSE,"",1,2.547658051849331,120
"191","ENSMUSG00000031149","darkgreen","Praf2","muscle",0.0028348775143867016,0.49722244107735514,"Praf2",FALSE,"",1,2.5474657007834685,61
"61","ENSMUSG00000023964","darkgreen","Calcr","muscle",0.002940067518332358,0.3884460119262734,"Calcr",FALSE,"",1,2.531642695947547,45
"184","ENSMUSG00000034006","darkgreen","Slc66a2","muscle",0.003229906627116875,0.0019973733697456774,"Slc66a2",FALSE,"",1,2.490810032441046,53
"187","ENSMUSG00000100075","darkgreen","1700018L02Rik","muscle",0.00329680151644298,0.36810750088625266,"1700018L02Rik",FALSE,"",1,2.4819071987192522,127
"78","ENSMUSG00000030493","darkgreen","Faap24","muscle",0.003423682399959756,0.17054756873715765,"Faap24",FALSE,"",1,2.465506529725727,161
"111","ENSMUSG00000061536","darkgreen","Sec22c","muscle",0.0034285766686464746,0.4225144821339493,"Sec22c",FALSE,"",1,2.464886134546919,176
"134","ENSMUSG00000098955","darkgreen","Mir6935","muscle",0.005437372149062961,0.4708964860783763,"Mir6935",FALSE,"",1,2.2646109416436047,44
"77","ENSMUSG00000078768","darkgreen","Zfp566","muscle",0.005545383652090771,0.04569478974180586,"Zfp566",FALSE,"",1,2.2560684022249733,138
"11","ENSMUSG00000103393","darkgreen","Gm38304","muscle",0.005634177277581721,0.519027663004392,"Gm38304",FALSE,"",1,2.249169492198621,2
"69","ENSMUSG00000030207","darkgreen","Fam234b","muscle",0.006092653950436072,0.05269266314136752,"Fam234b",FALSE,"",1,2.2151934881620887,48
"108","ENSMUSG00000037784","darkgreen","Dzip1l","muscle",0.006185252782362468,0.7113391395547021,"Dzip1l",FALSE,"",1,2.208642546682913,97
"173","ENSMUSG00000097440","darkgreen","Gm6277","muscle",0.006980551321812224,0.4024455023524226,"Gm6277",FALSE,"",1,2.1561102755766584,102
"154","ENSMUSG00000092868","darkgreen","Mir5113","muscle",0.007132829704780594,0.029011170931916665,"Mir5113",FALSE,"",1,2.1467381445699445,28
"160","ENSMUSG00000000884","darkgreen","Gnb1l","muscle",0.00803866693884952,0.25006933049764557,"Gnb1l",FALSE,"",1,2.0948159648214824,60
"31","ENSMUSG00000102544","darkgreen","Gm5103","muscle",0.00809882404474929,0.8596713880442743,"Gm5103",FALSE,"",1,2.0915780364241097,134
"164","ENSMUSG00000062012","darkgreen","Zfp13","muscle",0.00915111780765568,0.5060075185936328,"Zfp13",FALSE,"",1,2.0385258536880664,174
"95","ENSMUSG00000008167","darkgreen","Fbxw9","muscle",0.00928277206690509,0.5070865486623559,"Fbxw9",FALSE,"",1,2.0323223132653854,76
"83","ENSMUSG00000092071","darkgreen","A230065N10Rik","muscle",0.00955253804941357,0.9796223733578403,"A230065N10Rik",FALSE,"",1,2.0198812237659665,113
"55","ENSMUSG00000029380","darkgreen","Cxcl1","muscle",0.010006471607927619,0.35271789222189265,"Cxcl1",FALSE,"",1,1.999719032544557,158
"138","ENSMUSG00000021250","darkgreen","Fos","muscle",0.010017368265380196,0.9272115748470751,"Fos",FALSE,"",1,1.999246360100118,62
"2","ENSMUSG00000026088","darkgreen","Mitd1","muscle",0.010180998422646293,0.8995643209626866,"Mitd1",FALSE,"",1,1.992209629839756,5
"81","ENSMUSG00000030553","darkgreen","Pgpep1l","muscle",0.010242091257977934,0.5973521297238843,"Pgpep1l",FALSE,"",1,1.9896113588804862,74
"109","ENSMUSG00000032609","darkgreen","Klhdc8b","muscle",0.011688290466460508,0.38787162574509987,"Klhdc8b",FALSE,"",1,1.9322490042594622,140
"50","ENSMUSG00000025747","darkgreen","Tyms","muscle",0.01186383000344137,0.3709304155358045,"Tyms",FALSE,"",1,1.9257750849311492,35
"44","ENSMUSG00000035275","darkgreen","Raver2","muscle",0.012614065871433608,0.7531748044014809,"Raver2",FALSE,"",1,1.8991449054240819,36
"25","ENSMUSG00000027489","darkgreen","Necab3","muscle",0.013593180923728649,0.4668390263317698,"Necab3",FALSE,"",1,1.8666789026513548,98
"32","ENSMUSG00000074480","darkgreen","Mex3a","muscle",0.014319887705350844,0.29497153297205936,"Mex3a",FALSE,"",1,1.8440603876942034,58
"49","ENSMUSG00000028967","darkgreen","Errfi1","muscle",0.016870880954066254,0.2351854919744835,"Errfi1",FALSE,"",1,1.7728622390765187,154
