ensembl_gene_id,module,gene_symbol,organ,MM.pval,deseq2_sum.pval
ENSMUSG00000039321,orange,Uts2r,muscle,0.000573524348148421,0.0258061357787171
ENSMUSG00000039372,darkgreen,Marchf4,muscle,0.24206860884503,0.457165075692371
ENSMUSG00000039515,darkgreen,Ptpa,muscle,5.72400890618106e-10,0.000631762343525702
ENSMUSG00000039621,darkgreen,Prex1,muscle,3.32225916555947e-08,0.0107897414180058
ENSMUSG00000039706,darkgreen,Ldb2,muscle,0.000116008205531255,0.372704068814687
ENSMUSG00000039735,orange,Fnbp1l,muscle,1.3964060472753e-06,0.00266014900160761
ENSMUSG00000039936,darkgreen,Pik3cd,muscle,4.33523568972711e-11,0.000211295780943966
ENSMUSG00000040105,orange,Plpp6,muscle,4.72724450945301e-06,0.0306298420112517
ENSMUSG00000040158,darkgreen,Tax1bp3,muscle,2.50551254140766e-05,0.0624589726853836
ENSMUSG00000040170,orange,Fmo2,muscle,5.68213288028525e-15,8.77109985026809e-09
ENSMUSG00000040181,orange,Fmo1,muscle,9.55900353601459e-12,3.50411234683659e-10
ENSMUSG00000040339,orange,Eeig2,muscle,5.90623707245854e-08,5.0345714146141e-06
ENSMUSG00000040451,orange,Sgms1,muscle,4.98194745117876e-07,0.000658198463535805
ENSMUSG00000040795,orange,Iqcc,muscle,0.000154509313899349,0.000529062274441687
ENSMUSG00000041238,darkgreen,Rbbp8,muscle,0.030112410079502,0.311260301879832
ENSMUSG00000041361,orange,Myzap,muscle,0.000989061546329172,0.0388037692049468
ENSMUSG00000041390,darkgreen,Mdfic,muscle,3.19362494944741e-05,0.629066307693173
ENSMUSG00000041417,orange,Pik3r1,muscle,2.7828255247165e-13,9.86977433458282e-13
ENSMUSG00000041488,orange,Stx3,muscle,2.55723739788965e-10,0.000467085214306607
ENSMUSG00000041653,orange,Pnpla3,muscle,1.86527378276196e-07,4.34732008824854e-06
ENSMUSG00000041669,orange,Prima1,muscle,2.92902195857269e-09,1.47589704907523e-09
ENSMUSG00000041836,darkgreen,Ptpre,muscle,1.89436886548014e-05,0.302647453904613
ENSMUSG00000042035,darkgreen,Igsf3,muscle,0.0384777811258366,0.19672633446643
ENSMUSG00000042121,darkgreen,Ssh1,muscle,6.8714881304179e-05,0.0165381371262185
ENSMUSG00000042213,orange,Zfand4,muscle,6.99955049220438e-08,3.0075009673187e-06
ENSMUSG00000042705,darkgreen,Commd10,muscle,1.33427805312459e-06,0.000203819658220164
ENSMUSG00000042807,orange,Hecw2,muscle,2.6526962625649e-07,0.000524754107650307
ENSMUSG00000043415,darkgreen,Otud1,muscle,0.0331409830161214,0.484068880519336
ENSMUSG00000043432,orange,Leng9,muscle,4.03707489280074e-05,0.00610191685232853
ENSMUSG00000043644,darkgreen,0610009L18Rik,muscle,0.0323549824973521,0.0234310267837489
ENSMUSG00000044167,orange,Foxo1,muscle,8.20540754173108e-05,0.000102388639228064
ENSMUSG00000044367,darkgreen,Slc16a13,muscle,4.88201049276568e-08,8.94100284309411e-05
ENSMUSG00000045180,orange,Shroom2,muscle,0.000161901897146933,0.0018753689837065
ENSMUSG00000045327,orange,6330549D23Rik,muscle,0.000192525284031436,0.068421368969964
ENSMUSG00000045629,darkgreen,Sh3tc2,muscle,2.11417422936649e-05,0.622643450465825
ENSMUSG00000045917,orange,Tmem268,muscle,0.0127208819932142,0.543521434895746
ENSMUSG00000045968,orange,Teddm2,muscle,1.078887365735e-07,5.83017047821518e-06
ENSMUSG00000046058,darkgreen,Eid2,muscle,0.00161211182900318,0.0414885808792172
ENSMUSG00000046562,darkgreen,Unc119b,muscle,4.06033362166588e-06,0.0465517449473938
ENSMUSG00000047731,orange,Wbp1l,muscle,1.37032970094533e-06,0.0190835478714553
ENSMUSG00000047910,darkgreen,Pcdhb16,muscle,2.2471082741155e-05,0.831482610250589
ENSMUSG00000048490,orange,Nrip1,muscle,8.85272999535085e-05,0.00131961298122001
ENSMUSG00000048897,darkgreen,Zfp710,muscle,6.94689006096571e-07,0.0852951496018382
ENSMUSG00000049097,darkgreen,Ankrd34a,muscle,0.000169665265784357,0.00811144798058369
ENSMUSG00000049119,darkgreen,Fam110b,muscle,0.0012192825608345,0.0014324734553757
ENSMUSG00000049672,orange,Zbtb14,muscle,6.78256982473428e-10,5.61064563350534e-08
ENSMUSG00000049907,orange,Rasl11b,muscle,9.2934194712747e-06,0.00132467598985997
ENSMUSG00000049928,orange,Glp2r,muscle,3.57152046127466e-06,0.00104185656936472
ENSMUSG00000050947,darkgreen,Amigo1,muscle,9.68469804480375e-12,2.04726583821672e-08
ENSMUSG00000051451,orange,Crebzf,muscle,0.000124459421236287,0.0196759297647027
ENSMUSG00000051495,orange,Irf2bp2,muscle,4.98145838376501e-06,5.89829152245712e-06
ENSMUSG00000051790,darkgreen,Nlgn2,muscle,2.01955610269502e-06,0.123539384672124
ENSMUSG00000052040,orange,Klf13,muscle,5.14040242590039e-17,6.50560034587598e-14
ENSMUSG00000052387,darkgreen,Trpm3,muscle,4.60244235302185e-05,0.109080031945895
ENSMUSG00000052504,darkgreen,Epha3,muscle,0.0596449508701955,0.8513881423617
ENSMUSG00000052512,darkgreen,Nav2,muscle,4.01575386799949e-08,0.0405964937748796
ENSMUSG00000052544,darkgreen,St6galnac3,muscle,2.08124269511879e-05,0.000671986096045341
ENSMUSG00000052698,darkgreen,Tln2,muscle,0.000238732129557053,0.215095272368039
ENSMUSG00000052915,darkgreen,Msl1,muscle,6.65242527891231e-07,0.00112691431766708
ENSMUSG00000053560,darkgreen,Ier2,muscle,1.86307130095225e-05,0.67831599629347
ENSMUSG00000054008,darkgreen,Ndst1,muscle,2.79374299085991e-11,4.74356056302344e-06
ENSMUSG00000055200,darkgreen,Sertad3,muscle,0.000568150479492476,0.0402237033497401
ENSMUSG00000055368,darkgreen,Slc6a2,muscle,0.119066268959059,0.203466790557882
ENSMUSG00000055866,orange,Per2,muscle,0.0136057276375318,0.000195403016476871
ENSMUSG00000056492,orange,Adgrf5,muscle,1.72522818494581e-12,2.24935448589182e-05
ENSMUSG00000056602,orange,Fry,muscle,4.8561540075086e-08,0.000216109533973814
ENSMUSG00000056749,orange,Nfil3,muscle,3.59526031547201e-07,0.00163562858285065
ENSMUSG00000057133,orange,Chd6,muscle,3.62665940263712e-07,3.72112782456368e-08
ENSMUSG00000057738,orange,Sptan1,muscle,1.46600290702605e-05,0.00468538626439794
ENSMUSG00000057913,orange,Gm10032,muscle,3.2058820394852e-07,3.76672264908408e-06
ENSMUSG00000058297,orange,Spock2,muscle,8.12550365045553e-09,0.000169603230072344
ENSMUSG00000058594,orange,Fbh1,muscle,6.37853671234e-08,5.02382308049103e-06
ENSMUSG00000058706,orange,0610030E20Rik,muscle,3.00446572576699e-07,0.000137084132294446
ENSMUSG00000059327,darkgreen,Eda,muscle,0.00279782007019789,0.0757978556062056
ENSMUSG00000059436,orange,Max,muscle,8.23155298365195e-12,0.000126358910189083
ENSMUSG00000059588,orange,Calcrl,muscle,2.09432898016706e-08,2.17395586975398e-07
ENSMUSG00000059824,darkgreen,Dbp,muscle,4.76136410989465e-10,0.00175082101728332
ENSMUSG00000059939,orange,9430015G10Rik,muscle,2.89038836786563e-06,0.153923129909247
ENSMUSG00000061536,darkgreen,Sec22c,muscle,0.00342857666864647,0.422514482133949
ENSMUSG00000061731,darkgreen,Ext1,muscle,1.48176691954116e-05,0.124234341070847
ENSMUSG00000061981,darkgreen,Flot2,muscle,5.00876062021906e-07,0.205211817154216
ENSMUSG00000062012,darkgreen,Zfp13,muscle,0.00915111780765568,0.506007518593633
ENSMUSG00000062098,orange,Btbd3,muscle,2.536377531469e-05,0.0142844163147879
ENSMUSG00000062232,orange,Rapgef2,muscle,2.64456171950135e-05,0.00157703426579729
ENSMUSG00000062257,darkgreen,Opcml,muscle,1.1956867979864e-05,0.357547450283957
ENSMUSG00000062300,darkgreen,Nectin2,muscle,3.01620925804728e-06,0.00751172153936168
ENSMUSG00000062563,orange,Cys1,muscle,0.000222570436895085,0.000405241530011812
ENSMUSG00000062825,darkgreen,Actg1,muscle,2.03847992495299e-06,0.0209871983552683
ENSMUSG00000062995,darkgreen,Ica1,muscle,0.000533106835582272,0.131412275003069
ENSMUSG00000063415,orange,Cyp26b1,muscle,4.72900096852924e-05,0.0458717310950389
ENSMUSG00000066877,darkgreen,Nck2,muscle,2.63128123273087e-05,0.000240383065346227
ENSMUSG00000067279,orange,Ppp1r3c,muscle,4.95893095486703e-09,0.000140767535785764
ENSMUSG00000067370,darkgreen,B3galt4,muscle,0.0735902276448247,0.715416763011948
ENSMUSG00000068015,orange,Lrch1,muscle,8.4140418784317e-07,0.00046406196840735
ENSMUSG00000068079,darkgreen,Tcf15,muscle,0.00176837491371574,0.319354644468852
ENSMUSG00000068735,darkgreen,Trp53i11,muscle,6.18649239799521e-12,1.41346373877505e-08
ENSMUSG00000069833,orange,Ahnak,muscle,1.01983898045558e-10,4.82759340895545e-09
